,tweet_created_at,tweet_full_text,text_clean
4520,Fri Sep 07 03:56:49 +0000 2018,"@realDonaldTrump I thought you were supposed to be good at bidness, oh wait nevermind.  BANKRUPTCYSAYWHAT? #JustDoIt #Nike 

https://t.co/c5GODrA8Vc",user_ment i thought you were suppos to be good at bid oh wait nevermind bankruptcysaywhat justdoit nike url
2865,Fri Sep 07 03:56:48 +0000 2018,No title yet 😍🔥😘 I’m just working. Song not even #mixed #baby #work #confession #justdoit #nike #Trending #music #snippet #Love #new 👍🏾or 💩 https://t.co/ddTTmjZCa4,no titl yet just work song not even mix babi work confess justdoit nike trend music snippet love new url
3091,Fri Sep 07 03:56:39 +0000 2018,Ps all the #nike #justdoit memes are giving me life,ps all the nike justdoit meme are give me life
469,Fri Sep 07 03:56:22 +0000 2018,"For tomorrow's casual Friday at work.  Not only is it the GOATs jersey, but it is also Nike.
#JustDoIt https://t.co/iHcbSkq9Li",for tomorrow casual friday at work not onli is it the goat jersey but it is also nike justdoit url
3951,Fri Sep 07 03:56:21 +0000 2018,@UnderArmour IS AT IT AGAIN!!! The Kaepernick commercial aired and in response they have added @PaxtonLynch to their counter-campaign. Seems like a risky move so early in Paxton’s “Collusion” case  #ItsNotFailureItsCollusion #JustDoIt https://t.co/7ftysd9ZBC,user_ment is at it again the kaepernick commerci air and in respons they have ad user_ment to their countercampaign seem like a riski move so earli in case itsnotfailureitscollus justdoit url
1592,Fri Sep 07 03:56:21 +0000 2018,Love the #diversity in this advert with @Kaepernick7 We can't all #JustDoIt but we can try and others can help us #AccessMattersNZ HT @CarmelSepuloni &amp; @PaulaTesoriero for helping disabled people overcome barriers to just doing it https://t.co/BX85zaFV4G,love the divers in thi advert with user_ment we cant all justdoit but we can tri and other can help us accessmattersnz ht user_ment user_ment for help disabl peopl overcom barrier to just do it url
4552,Fri Sep 07 03:56:12 +0000 2018,"This is my son who was killed by BCSO in #Alabama in an accident shot 5 times with an AR55, no weapon, no drugs,no alcohol, no criminal record, no justice. #ImWithKaep #Nike #JustDoIt #PoliceBrutality #JusticeForJonathanVictor #ColinKaepernick #RacialInjustice https://t.co/pvJTGxbkD6",thi is my son who wa kill by bcso in alabama in an accid shot time with an ar55 no weapon no alcohol no crimin record no justic imwithkaep nike justdoit policebrut justiceforjonathanvictor colinkaepernick racialinjustic url
2733,Fri Sep 07 03:55:39 +0000 2018,"@EMarx15 @mflynnJR Don't ask. 
Don't wait. 
#JustDoIt",user_ment user_ment dont ask dont wait justdoit
46,Fri Sep 07 03:55:26 +0000 2018,I’m gonna need Nick Foles to stop acting like he’s wearing Reebox and start playing like he’s wearing @Nike. #JustDoIt #TNF #PHIvsATL #FlyEaglesFly,gonna need nick fole to stop act like wear reebox and start play like wear user_ment justdoit tnf phivsatl flyeaglesfli
3331,Fri Sep 07 03:54:58 +0000 2018,@MollyJongFast @TheRickWilson I didn't get my medical marijuana license just for my back. #JustDoIt,user_ment user_ment i didnt get my medic marijuana licens just for my back justdoit
4521,Fri Sep 07 03:54:47 +0000 2018,@krystanKJohnson The point is that they want to wipe Nike’s brand off the face of the planet instead of spreading it. Joke’s on these idiots though because Nike already has their money and still has their target audience on brand. 🤷🏼‍♂️ #justdoit ✔️,user_ment the point is that they want to wipe brand off the face of the planet instead of spread it on these idiot though becaus nike alreadi ha their money and still ha their target audienc on brand justdoit
3185,Fri Sep 07 03:54:41 +0000 2018,Will you join in with us... #justdoit✔️ https://t.co/SuyCkP8xSR,will you join in with us url
1021,Fri Sep 07 03:54:22 +0000 2018,"Early bird training....#freeletics #nopainogain #justdoit #nutricionfreeletics @ De Pinte, Belgium https://t.co/AL0p9um9la",earli bird train freelet nopainogain justdoit nutricionfreelet de pint belgium url
1596,Fri Sep 07 03:54:07 +0000 2018,One swoosh beats three stripes #TeamNike #SwooshLife #JustDoIt https://t.co/Jd9N6Dlenx,one swoosh beat three stripe teamnik swooshlif justdoit url
2858,Fri Sep 07 03:54:07 +0000 2018,#JustDoIt if not #DonateIt https://t.co/vggiVTqNc4,justdoit if not donateit url
267,Fri Sep 07 03:53:53 +0000 2018,Tell a friend to tell a friend 💯🎬 #JustDoIt #Nike #SelfTaping #Auditioning #acting #Coaching #DownForTheCause #LetMeChangeYourLife #DopeTakesOnly #Booking #workingactors… https://t.co/sBusIMjWPR,tell a friend to tell a friend justdoit nike selftap audit act coach downforthecaus letmechangeyourlif dopetakesonli book url
2760,Fri Sep 07 03:53:35 +0000 2018,@RELEVANT If the @AtlantaFalcons picked up @Kaepernick7 as a back up quarterback it would be the sickest sick to ever happen in hotlanta. It'd be so hot that Theraflu wouldn't cure the fever in Georgia for weeks. The South defying Trump? I wish!  #JustDoIt https://t.co/VZbpy4NTND,user_ment if the user_ment pick up user_ment as a back up quarterback it would be the sickest sick to ever happen in hotlanta itd be so hot that theraflu wouldnt cure the fever in georgia for week the south defi trump i wish justdoit url
4115,Fri Sep 07 03:53:12 +0000 2018,"Thank You Nike... 
You have Inspired Me...
#JustDoIt
#IMustDoIt
#ImCrazyEnough2Dream https://t.co/3eqCIpeCzo",thank you nike you have inspir me justdoit imustdoit imcrazyenough2dream url
4333,Fri Sep 07 03:52:53 +0000 2018,"But, but, but... I BROKE the Rules BEFORE I BROKE the rules... I DID IT, MOMMY, I POOPED MY PANTS!  LOOK WHAT A GOOD BOY I AM!!!  @CoryBooker  Give him what he wants and THROW HIM OUT @ChuckGrassley!  #JUSTDOIT 
@realDonaldTrump https://t.co/ybtgdLdUU5",but but but i broke the rule befor i broke the rule i did it mommi i poop my pant look what a good boy i am user_ment give him what he want and throw him out user_ment justdoit user_ment url
4198,Fri Sep 07 03:52:49 +0000 2018,@Kaepernick7 Magic !! #JustDoIt,user_ment magic justdoit
2169,Fri Sep 07 03:52:45 +0000 2018,"@kingjames  and @BenSimmons25 ballin 🔥🏀

.
.
#Basketball #NBA #LeBronJames #BenSimmons #BallIsLife #KingJames #JustDoIt #SportBuka https://t.co/5NSKovlnri",user_ment and user_ment ballin basketbal nba lebronjam bensimmon ballislif kingjam justdoit sportbuka url
3551,Fri Sep 07 03:52:44 +0000 2018,"Don’t ask me how I know! 
Life is to be lived...
#JustDoIt
#NiyiaNotes
#Nike 
#EmbraceOtherWomen https://t.co/VUw3gJTJt5",ask me how i know life is to be live justdoit niyianot nike embraceotherwomen url
1397,Fri Sep 07 03:52:12 +0000 2018,😂😂 aight now this one is hilarious 🤣 #JustDoIt #Nike https://t.co/VxAd5Kvxfo,aight now thi one is hilari justdoit nike url
1,Fri Sep 07 03:52:11 +0000 2018,"Leaving for sectionals after work, so packing now.
#reggiesbound
#JustDoIt https://t.co/uJO8WOnG2G",leav for section after work so pack now reggiesbound justdoit url
58,Fri Sep 07 03:52:06 +0000 2018,"The Nazis wore @adidas right?
#justdoit",the nazi wore user_ment right justdoit
2689,Fri Sep 07 03:52:06 +0000 2018,"I heard @Kaepernick7 has been the best QB featured tonight. 

#JustDoIt",i heard user_ment ha been the best qb featur tonight justdoit
3804,Fri Sep 07 03:51:53 +0000 2018,Took this one from a friend because it’s so powerful!! #DreamCrazy #kaepernick #LetFreedomRing #JustDoIt #BeTheChange #StartAConversation https://t.co/fqDxPEkacn,took thi one from a friend becaus so power dreamcrazi kaepernick letfreedomr justdoit bethechang startaconvers url
3695,Fri Sep 07 03:51:49 +0000 2018,@realDonaldTrump You are not well. Just think of the relief you’d feel if you just resigned. #JustDoIt #Resign,user_ment you are not well just think of the relief feel if you just resign justdoit resign
